CODIGO MUNICIPIO;LATITUDE;LONGITUDE
110001;-11.92;-61.99
110002;-9.91;-63.04
110003;-13.49;-60.54
110004;-11.43;-61.44
110005;-13.18;-60.81
110006;-13.11;-60.54
110007;-12.96;-60.88
110008;-12.44;-64.22
110009;-11.52;-61.01
110010;-10.78;-65.33
110011;-10.43;-62.46
110012;-10.88;-61.94
110013;-9.44;-61.98
110014;-11.72;-62.33
110015;-10.71;-62.24
110018;-11.67;-61.19
110020;-8.76;-63.9
110025;-11.17;-61.9
110026;-9.7;-62.9
110028;-11.73;-61.77
110029;-11.9;-61.77
110030;-12.74;-60.14
110032;-11.68;-62.68
110033;-10.41;-65.33
110034;-11.4;-62.38
110037;-12.12;-61.85
110040;-9.71;-63.32
110045;-10.21;-63.82
110050;-11.71;-62
110060;-10.34;-62.89
110070;-10.57;-63.62
110080;-8.79;-63.7
110090;-11.42;-61.95
110092;-12.55;-60.9
110094;-9.36;-62.58
110100;-10.6;-62.73
110110;-9.2;-63.18
110120;-11.19;-61.51
110130;-11.02;-62.67
110140;-10.24;-63.29
110143;-10.9;-62.56
110145;-12.17;-61.6
110146;-13.48;-61.04
110147;-11.82;-61.32
110148;-11.9;-61.5
110149;-12.06;-63.56
110150;-11.79;-63.03
110155;-10.91;-62.24
110160;-10.24;-62.35
110170;-11.12;-62.37
110175;-9.86;-62.18
110180;-10.44;-62.13
120001;-9.82;-66.88
120005;-10.94;-69.56
120010;-11.01;-68.74
120013;-9.83;-67.95
120017;-10.57;-67.67
120020;-7.63;-72.66
120025;-11.02;-68.74
120030;-8.16;-70.35
120032;-9.43;-71.88
120033;-7.61;-72.89
120034;-8.83;-69.26
120035;-8.94;-72.79
120038;-10.33;-67.18
120039;-8.26;-72.74
120040;-9.97;-67.8
120042;-7.74;-72.64
120043;-9.43;-70.49
120045;-10.15;-67.73
120050;-9.06;-68.65
120060;-8.16;-70.76
120070;-10.65;-68.5
120080;-9.58;-67.53
130002;-3.22;-64.8
130006;-3.36;-68.19
130008;-3.57;-61.4
130010;-3.77;-61.64
130014;-7.19;-59.89
130020;-4.37;-70.19
130030;-3.57;-59.13
130040;-0.97;-62.92
130050;-2.79;-57.06
130060;-4.38;-70.03
